Ticker,종목명,Close,RS_rating,TT_pass,RS_pass,Minervini_pass,Minervini_score,early_stage_score,R3M,R6M,R12M,C1_Price>MA150&200,C2_MA150>MA200,C3_MA200_up_22d,C4_MA50>MA150&200,C5_+25%_from_low,C6_within_25%_high,Days_passed
005090,SGC에너지,63000.0,92.4,True,True,True,74.49,25.103257365726968,28.440366972477072,58.890290037831015,160.8695652173913,1,1,1,1,1,1,10
161890,한국콜마,137100.0,87.6,True,True,True,74.01,29.913390106681682,53.18435754189945,88.58321870701513,54.04494382022471,1,1,1,1,1,1,11
131290,티에스이,226500.0,98.3,True,True,True,72.3,9.920753376220889,0.0,161.84971098265896,460.64356435643566,1,1,1,1,1,1,9
181710,NHN,73400.0,94.2,True,True,True,72.23,15.165967843685038,92.14659685863876,97.57738896366084,148.81355932203388,1,1,1,1,1,1,7
078930,GS,116700.0,91.1,True,True,True,70.01,11.904011600545786,54.56953642384106,64.1350210970464,143.37851929092804,1,1,1,1,1,1,13
402340,SK스퀘어,1120000.0,99.0,False,True,False,69.41,16.030156245890634,-2.777777777777779,99.28825622775801,705.7553956834532,1,1,1,1,1,0,0
089860,롯데렌탈,45850.0,81.1,True,True,True,68.78,21.122759121855484,44.182389937106926,35.65088757396451,52.07296849087895,1,1,1,1,1,1,19
089970,브이엠,58600.0,96.9,False,True,False,68.53,15.899254360985891,-2.170283806343909,72.3529411764706,425.0896057347671,1,1,1,1,1,0,0
319660,피에스케이,122100.0,97.9,False,True,False,68.47,14.372375739849328,12.327506899724018,110.88082901554404,469.2307692307692,1,1,1,1,1,0,0
001450,현대해상,49400.0,83.2,True,True,True,67.98,15.681778712168601,30.000000000000004,38.18181818181819,84.32835820895524,1,1,1,1,1,1,11
036930,주성엔지니어링,168600.0,99.0,False,True,False,67.94,11.14862204357847,-8.963282937365014,230.58823529411762,503.2200357781753,1,1,1,1,1,0,0
095610,테스,133800.0,97.3,False,True,False,67.92,13.336455724648793,12.62626262626263,101.20300751879698,432.0079522862823,1,1,1,1,1,0,0
024840,KBI메탈,5290.0,96.9,False,True,False,67.91,13.838485293701508,143.21839080459768,194.543429844098,159.31372549019608,1,1,1,1,1,0,0
064290,인텍플러스,32100.0,93.8,False,True,False,67.51,16.641203049627926,13.427561837455837,87.5,237.18487394957984,1,1,1,1,1,0,0
009150,삼성전기,1318000.0,99.3,False,True,False,67.02,7.680308142166476,8.745874587458747,321.76,720.161792159303,1,1,1,1,1,0,0
000660,SK하이닉스,1761000.0,98.6,False,True,False,67.01,8.55075141926209,-7.461902259590126,98.75846501128669,585.2140077821011,1,1,1,1,1,0,0
420770,기가비스,106800.0,94.5,False,True,False,66.83,13.43915639570989,-14.900398406374505,86.06271777003485,302.2598870056497,1,1,1,1,1,0,0
001820,삼화콘덴서,90600.0,94.8,False,True,False,66.82,13.008708669719216,15.4140127388535,147.54098360655738,236.17810760667902,1,1,1,1,1,0,0
241710,코스메카코리아,135800.0,89.3,True,True,True,66.37,2.1538029992194354,84.76190476190477,34.856007944389276,103.9039039039039,1,1,1,1,1,1,5
031980,피에스케이홀딩스,109000.0,90.7,False,True,False,65.8,15.065815462543181,-14.643696162881758,47.297297297297305,226.34730538922153,1,1,1,1,1,0,0
222800,심텍,100500.0,92.1,False,True,False,65.76,13.065159444310247,-17.8921568627451,97.44597249508841,264.1304347826087,1,1,1,1,1,0,0
041830,인바디,60200.0,88.7,True,True,True,65.71,0.7663677935132922,42.148760330578504,75.76642335766424,111.22807017543859,1,1,1,1,1,1,13
080220,제주반도체,73500.0,96.2,False,True,False,65.68,7.3205069684565744,-37.60611205432938,60.65573770491803,395.9514170040486,1,1,1,1,1,0,0
353200,대덕전자,104300.0,95.2,False,True,False,65.62,8.460221739094058,-28.756830601092897,81.3913043478261,344.77611940298505,1,1,1,1,1,0,0
010950,S-Oil,142400.0,85.6,True,True,True,65.34,3.6703570164787935,32.0964749536178,33.33333333333333,131.54471544715446,1,1,1,1,1,1,33
019210,와이지-원,14600.0,88.0,False,True,False,64.84,15.471390306709498,-19.64777105118327,57.66738660907127,154.3554006968641,1,1,1,1,1,0,0
417840,저스템,11850.0,92.1,False,True,False,64.72,9.589319460964747,-34.56653782440641,80.36529680365297,200.0,1,1,1,1,1,0,0
010170,대한광통신,12120.0,99.7,False,True,False,64.29,-1.9566631534244339,-47.532467532467535,251.30434782608697,1069.88416988417,1,1,1,1,1,0,0
005930,삼성전자,270000.0,93.1,False,True,False,64.24,6.665332076372666,-8.47457627118644,48.02631578947369,276.04456824512533,1,1,1,1,1,0,0
007810,코리아써키트,55600.0,95.5,False,True,False,63.9,18.993247241445324,-42.2037422037422,-4.794520547945202,355.36445536445535,0,1,1,1,1,0,0
034730,SK,588000.0,90.0,False,True,False,63.78,9.26880672091024,2.977232924693518,67.28307254623044,207.2100313479624,1,1,1,1,1,0,0
119850,지엔씨에너지,48500.0,83.5,True,True,True,63.66,0.8727916146621733,78.63720073664825,27.63157894736843,39.568345323741006,1,1,1,1,1,1,2
009420,한올바이오파마,57000.0,76.3,True,True,True,63.21,8.95340493118604,11.984282907662092,4.20475319926874,105.40540540540539,1,1,1,1,1,1,11
073240,금호타이어,7060.0,75.6,True,True,True,62.88,8.811145874111979,44.96919917864477,1.0014306151645114,47.390396659707726,1,1,1,1,1,1,4
017900,광전자,7940.0,97.9,False,True,False,62.86,-4.324440606022014,-42.043795620437955,313.75716519020324,317.0168067226891,1,1,1,1,1,0,0
